date,location,link
"July 30, 2022","Dallas, Texas, USA",http://www.ufcstats.com/event-details/b0a6124751a56bc4
"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/307064d3e0f036c2
"January 23, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/4304992c2acc187b
"December 19, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/e49c2db95e572dc8
"December 12, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/d0d43cb9b14f231c
"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",http://www.ufcstats.com/event-details/56116537d71a578c
"February 13, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/3f7c14c7eca7195d
"December 05, 2020","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/398b440e73d55b8b
"February 20, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/bfe95ec546692b13
"February 06, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a1153013cb5f628f
"February 27, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/81b57acd6975ac06
"March 06, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/6e2b1d631832921d
"March 27, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/6597b611f1c32555
"March 11, 1994","Denver, Colorado, USA",http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
"March 20, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/c36e1f4fa755ffb4
"March 13, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/8c90c1563972e44d
"July 14, 1995","Casper, Wyoming, USA",http://www.ufcstats.com/event-details/1c3f5e85b59ec710
"September 09, 1994","Charlotte, North Carolina, USA",http://www.ufcstats.com/event-details/1a49e0670dfaca31
"April 10, 2021","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/9114c8ded5ccd71d
"September 08, 1995","Buffalo, New York, USA",http://www.ufcstats.com/event-details/5af480a3b2e1726b
"April 07, 1995","Charlotte, North Carolina, USA",http://www.ufcstats.com/event-details/dedc3bb440d09554
"December 16, 1994","Tulsa, Oklahoma, USA",http://www.ufcstats.com/event-details/b60391da771deefe
"December 16, 1995","Denver, Colorado, USA",http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
"February 16, 1996","San Juan, Puerto Rico",http://www.ufcstats.com/event-details/b63e800c18e011b5
"May 17, 1996","Detroit, Michigan, USA",http://www.ufcstats.com/event-details/a390eb8a9b2df298
"September 20, 1996","Augusta, Georgia, USA",http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
